System Time:,Simulation Time:,VegetableType:,CurrentNumber:
16:41:52,1563.864,Grain,22
16:42:07,1566.864,Grain,22
16:42:23,1569.864,Grain,22
16:42:38,1572.864,Grain,22
16:42:54,1575.864,Grain,21
16:43:10,1578.864,Grain,21
16:43:25,1581.864,Grain,19
16:43:40,1584.864,Grain,20
16:43:55,1587.864,Grain,21
16:44:11,1590.864,Grain,22
16:44:27,1593.864,Grain,19
16:44:43,1596.864,Grain,20
16:44:58,1599.864,Grain,19
16:45:14,1602.864,Grain,19
16:45:30,1605.864,Grain,20
16:45:45,1608.864,Grain,18
16:46:02,1611.864,Grain,19
16:46:18,1614.864,Grain,19
16:46:34,1617.864,Grain,19
16:46:51,1620.864,Grain,19
16:47:07,1623.864,Grain,19
16:47:23,1626.864,Grain,20
16:47:39,1629.864,Grain,20
16:47:57,1632.864,Grain,20
16:48:13,1635.864,Grain,20
16:48:29,1638.864,Grain,19
16:48:46,1641.864,Grain,17
16:49:02,1644.864,Grain,17
16:49:19,1647.864,Grain,18
16:49:35,1650.864,Grain,19
16:49:52,1653.864,Grain,20
16:50:09,1656.864,Grain,20
16:50:26,1659.864,Grain,20
16:50:42,1662.864,Grain,20
16:50:59,1665.864,Grain,19
16:51:16,1668.864,Grain,19
16:51:33,1671.864,Grain,18
16:51:50,1674.864,Grain,18
16:52:07,1677.864,Grain,19
16:52:24,1680.864,Grain,17
16:52:42,1683.864,Grain,17
16:53:01,1686.864,Grain,18
16:53:18,1689.864,Grain,19
16:53:36,1692.864,Grain,19
16:53:54,1695.864,Grain,20
16:54:12,1698.864,Grain,17
16:54:30,1701.864,Grain,17
16:54:48,1704.864,Grain,16
16:55:07,1707.864,Grain,17
16:55:25,1710.864,Grain,17
16:55:43,1713.864,Grain,17
16:56:01,1716.864,Grain,18
16:56:19,1719.864,Grain,18
16:56:38,1722.864,Grain,18
16:56:56,1725.864,Grain,17
16:57:14,1728.864,Grain,17
16:57:33,1731.864,Grain,17
16:57:52,1734.864,Grain,15
16:58:11,1737.864,Grain,14
16:58:30,1740.864,Grain,13
16:58:49,1743.864,Grain,13
16:59:08,1746.864,Grain,14
16:59:27,1749.864,Grain,15
16:59:46,1752.864,Grain,14
17:00:05,1755.864,Grain,15
17:00:24,1758.864,Grain,14
17:00:44,1761.864,Grain,14
17:01:03,1764.864,Grain,13
17:01:23,1767.864,Grain,12
17:01:42,1770.864,Grain,13
17:02:02,1773.864,Grain,12
17:02:22,1776.864,Grain,13
17:02:41,1779.864,Grain,14
17:03:01,1782.864,Grain,15
17:03:21,1785.864,Grain,15
17:03:41,1788.864,Grain,16
17:04:00,1791.864,Grain,17
17:04:20,1794.864,Grain,17
17:04:39,1797.864,Grain,18
17:04:58,1800.864,Grain,18
17:05:18,1803.864,Grain,18
17:05:37,1806.864,Grain,15
17:05:57,1809.864,Grain,15
17:06:17,1812.864,Grain,15
17:06:37,1815.864,Grain,15
17:06:57,1818.864,Grain,15
17:07:17,1821.864,Grain,14
17:07:36,1824.864,Grain,15
17:07:56,1827.864,Grain,16
17:08:16,1830.864,Grain,16
17:08:36,1833.864,Grain,15
17:08:56,1836.864,Grain,15
17:09:17,1839.864,Grain,16
17:09:37,1842.864,Grain,17
17:09:57,1845.864,Grain,18
17:10:17,1848.864,Grain,19
17:10:37,1851.864,Grain,19
17:10:57,1854.864,Grain,18
17:11:17,1857.864,Grain,18
17:11:37,1860.864,Grain,19
17:11:57,1863.864,Grain,19
17:12:17,1866.864,Grain,19
17:12:36,1869.864,Grain,20
17:12:56,1872.864,Grain,19
17:13:17,1875.864,Grain,18
17:13:36,1878.864,Grain,18
17:13:56,1881.864,Grain,17
17:14:15,1884.864,Grain,17
17:14:35,1887.864,Grain,17
17:14:54,1890.864,Grain,18
17:15:13,1893.864,Grain,19
17:15:32,1896.864,Grain,18
17:15:51,1899.864,Grain,19
17:16:10,1902.864,Grain,19
17:16:30,1905.864,Grain,18
17:16:48,1908.864,Grain,16
17:17:07,1911.864,Grain,17
17:17:26,1914.864,Grain,18
17:17:44,1917.864,Grain,18
17:18:02,1920.864,Grain,18
17:18:21,1923.864,Grain,19
17:18:38,1926.864,Grain,18
17:18:56,1929.864,Grain,17
17:19:13,1932.864,Grain,16
17:19:31,1935.864,Grain,14
17:19:48,1938.864,Grain,13
17:20:05,1941.864,Grain,13
17:20:23,1944.864,Grain,14
17:20:40,1947.864,Grain,14
17:20:57,1950.864,Grain,14
17:21:14,1953.864,Grain,15
17:21:31,1956.864,Grain,16
17:21:49,1959.864,Grain,16
17:22:06,1962.864,Grain,17
17:22:23,1965.864,Grain,16
17:22:40,1968.864,Grain,16
17:22:56,1971.864,Grain,16
17:23:13,1974.864,Grain,15
17:23:32,1977.864,Grain,16
17:24:03,1980.864,Grain,17
17:24:25,1983.864,Grain,17
17:24:47,1986.864,Grain,18
17:25:09,1989.864,Grain,18
17:25:31,1992.864,Grain,19
17:25:56,1995.864,Grain,20
17:26:21,1998.864,Grain,20
17:26:47,2001.864,Grain,19
17:27:13,2004.864,Grain,19
17:27:40,2007.864,Grain,20
17:28:07,2010.864,Grain,17
17:28:35,2013.864,Grain,18
17:29:02,2016.864,Grain,19
17:29:29,2019.864,Grain,20
17:29:56,2022.864,Grain,19
17:30:22,2025.864,Grain,18
17:30:47,2028.864,Grain,18
17:31:12,2031.864,Grain,17
17:31:37,2034.864,Grain,18
17:32:01,2037.864,Grain,17
17:32:25,2040.864,Grain,17
17:32:49,2043.864,Grain,16
17:33:14,2046.864,Grain,17
17:33:40,2049.864,Grain,17
17:34:09,2052.864,Grain,17
17:34:32,2055.864,Grain,18
17:35:29,2058.864,Grain,19
17:36:27,2061.864,Grain,17
17:37:26,2064.864,Grain,16
17:38:14,2067.864,Grain,16
17:39:07,2070.864,Grain,16
17:39:51,2073.864,Grain,17
17:40:36,2076.864,Grain,18
17:41:27,2079.864,Grain,17
17:42:01,2082.864,Grain,16
17:42:27,2085.864,Grain,16
17:42:49,2088.864,Grain,16
17:43:17,2091.864,Grain,16
17:43:48,2094.864,Grain,16
17:44:15,2097.864,Grain,17
17:44:43,2100.864,Grain,17
17:45:10,2103.864,Grain,18
17:45:38,2106.864,Grain,18
17:46:07,2109.864,Grain,17
17:46:36,2112.864,Grain,17
17:47:05,2115.864,Grain,17
17:47:34,2118.864,Grain,18
17:48:02,2121.864,Grain,18
17:48:31,2124.864,Grain,18
17:49:03,2127.864,Grain,18
17:49:32,2130.864,Grain,18
17:50:01,2133.864,Grain,17
17:50:26,2136.864,Grain,18
17:50:43,2139.864,Grain,18
17:51:01,2142.864,Grain,18
17:51:16,2145.864,Grain,18
17:51:31,2148.864,Grain,18
17:51:46,2151.864,Grain,19
17:52:01,2154.864,Grain,20
17:52:16,2157.864,Grain,21
17:52:31,2160.864,Grain,20
17:52:46,2163.864,Grain,19
17:53:01,2166.864,Grain,20
17:53:15,2169.864,Grain,20
17:53:29,2172.864,Grain,20
17:53:43,2175.864,Grain,21
17:53:58,2178.864,Grain,21
17:54:13,2181.864,Grain,22
17:54:27,2184.864,Grain,23
17:54:41,2187.864,Grain,22
17:54:55,2190.864,Grain,23
17:55:10,2193.864,Grain,23
17:55:24,2196.864,Grain,24
17:55:38,2199.864,Grain,23
17:55:53,2202.864,Grain,22
17:56:07,2205.864,Grain,21
17:56:21,2208.864,Grain,21
17:56:35,2211.864,Grain,22
17:56:49,2214.864,Grain,23
17:57:03,2217.864,Grain,21
17:57:17,2220.864,Grain,21
17:57:31,2223.864,Grain,20
17:57:45,2226.864,Grain,21
17:57:59,2229.864,Grain,21
17:58:14,2232.864,Grain,20
17:58:28,2235.864,Grain,21
17:58:42,2238.864,Grain,21
17:58:56,2241.864,Grain,20
17:59:11,2244.864,Grain,19
17:59:25,2247.864,Grain,19
17:59:40,2250.864,Grain,17
17:59:54,2253.864,Grain,16
18:00:08,2256.864,Grain,17
18:00:22,2259.864,Grain,17
18:00:36,2262.864,Grain,16
18:00:51,2265.864,Grain,17
18:01:05,2268.864,Grain,17
18:01:20,2271.864,Grain,16
18:01:35,2274.864,Grain,17
18:01:49,2277.864,Grain,17
18:02:04,2280.864,Grain,17
18:02:18,2283.864,Grain,17
18:02:33,2286.864,Grain,18
18:02:47,2289.864,Grain,19
18:03:02,2292.864,Grain,18
18:03:16,2295.864,Grain,17
18:03:30,2298.864,Grain,17
18:03:45,2301.864,Grain,18
18:03:59,2304.864,Grain,19
18:04:15,2307.864,Grain,19
18:04:29,2310.864,Grain,19
18:04:43,2313.864,Grain,20
18:04:58,2316.864,Grain,20
18:05:12,2319.864,Grain,21
18:05:27,2322.864,Grain,21
18:05:41,2325.864,Grain,21
18:05:56,2328.864,Grain,22
18:06:10,2331.864,Grain,23
18:06:25,2334.864,Grain,22
18:06:39,2337.864,Grain,21
18:06:54,2340.864,Grain,22
18:07:08,2343.864,Grain,20
18:07:23,2346.864,Grain,20
18:07:37,2349.864,Grain,21
18:07:52,2352.864,Grain,21
18:08:07,2355.864,Grain,21
18:08:22,2358.864,Grain,19
18:08:37,2361.864,Grain,20
18:08:52,2364.864,Grain,21
18:09:06,2367.864,Grain,21
18:09:22,2370.864,Grain,22
18:09:36,2373.864,Grain,22
18:09:50,2376.864,Grain,22
18:10:05,2379.864,Grain,21
18:10:19,2382.864,Grain,22
18:10:33,2385.864,Grain,18
18:10:47,2388.864,Grain,18
18:11:01,2391.864,Grain,19
18:11:15,2394.864,Grain,18
18:11:29,2397.864,Grain,18
18:11:43,2400.864,Grain,19
18:11:56,2403.864,Grain,20
18:12:10,2406.864,Grain,20
18:12:24,2409.864,Grain,19
18:12:38,2412.864,Grain,20
18:12:52,2415.864,Grain,21
18:13:06,2418.864,Grain,22
18:13:20,2421.864,Grain,23
18:13:33,2424.864,Grain,22
18:13:47,2427.864,Grain,23
18:14:01,2430.864,Grain,24
18:14:16,2433.864,Grain,25
18:14:29,2436.864,Grain,25
18:14:43,2439.864,Grain,25
18:14:57,2442.864,Grain,26
18:15:10,2445.864,Grain,26
18:15:24,2448.864,Grain,25
18:15:38,2451.864,Grain,24
18:15:52,2454.864,Grain,24
18:16:06,2457.864,Grain,25
18:16:20,2460.864,Grain,26
18:16:34,2463.864,Grain,23
18:16:48,2466.864,Grain,23
18:17:02,2469.864,Grain,22
18:17:16,2472.864,Grain,23
18:17:30,2475.864,Grain,23
